,word1,word2,similarity
0,sun,sunlight,50.000000
1,automobile,car,50.000000
2,river,water,49.000000
3,stair,staircase,49.000000
4,morning,sunrise,49.000000
5,rain,storm,49.000000
6,cat,kitten,49.000000
7,dance,dancer,49.000000
8,camera,photography,49.000000
9,cat,feline,48.000000
10,sunny,sunshine,48.000000
11,pregnancy,pregnant,48.000000
12,beach,sand,48.000000
13,bakery,bread,48.000000
14,flower,garden,48.000000
15,grass,lawn,48.000000
16,copper,metal,48.000000
17,photo,photography,47.000000
18,cemetery,graveyard,47.000000
19,gravestone,graveyard,47.000000
20,sun,sunshine,47.000000
21,black,dark,47.000000
22,cathedral,church,47.000000
23,frozen,ice,47.000000
24,station,subway,47.000000
25,child,kid,46.000000
26,aquarium,fish,46.000000
27,light,lighting,46.000000
28,fungus,mushroom,46.000000
29,frost,snow,46.000000
30,burn,flame,46.000000
31,ocean,sea,46.000000
32,candy,chocolate,46.000000
33,car,vehicle,46.000000
34,concert,music,46.000000
35,photo,picture,46.000000
36,grape,wine,46.000000
37,bath,bathroom,46.000000
38,bud,flower,46.000000
39,cat,kitty,46.000000
40,ocean,water,46.000000
41,aircraft,airplane,46.000000
42,butterfly,caterpillar,46.000000
43,hair,wig,46.000000
44,blossom,bud,46.000000
45,highway,road,46.000000
46,bunny,rabbit,46.000000
47,bread,sandwich,46.000000
48,mist,misty,46.000000
49,flower,petal,46.000000
50,airplane,flight,46.000000
51,fish,fishing,46.000000
52,ice,snow,46.000000
53,bright,sun,45.000000
54,shade,tree,45.000000
55,bicycle,bike,45.000000
56,truck,vehicle,45.000000
57,shore,water,45.000000
58,boat,fishing,45.000000
59,dog,puppy,45.000000
60,bride,wedding,45.000000
61,bird,hummingbird,45.000000
62,sea,water,45.000000
63,cow,milk,45.000000
64,bird,feather,45.000000
65,skate,skating,45.000000
66,chapel,church,45.000000
67,branch,twig,45.000000
68,concert,musician,45.000000
69,clothes,dress,45.000000
70,automobile,vehicle,45.000000
71,splash,swimming,45.000000
72,bed,furniture,45.000000
73,aircraft,flight,45.000000
74,reptile,snake,45.000000
75,motorcycle,scooter,45.000000
76,coffee,tea,45.000000
77,feather,goose,45.000000
78,pool,swimming,45.000000
79,eye,face,45.000000
80,dirt,dirty,45.000000
81,railway,train,45.000000
82,harbour,port,45.000000
83,fruit,strawberry,45.000000
84,flight,plane,45.000000
85,smoke,smoking,45.000000
86,ivy,plant,45.000000
87,river,stream,45.000000
88,lake,water,45.000000
89,kitten,kitty,45.000000
90,snow,snowman,45.000000
91,dog,terrier,45.000000
92,daffodil,flower,45.000000
93,pond,water,45.000000
94,show,television,44.000000
95,handwriting,write,44.000000
96,flood,water,44.000000
97,jazz,musician,44.000000
98,eagle,feather,44.000000
99,grape,vine,44.000000
100,bird,hawk,44.000000
101,clothes,outfit,44.000000
102,exhibition,museum,44.000000
103,hand,palm,44.000000
104,grave,graveyard,44.000000
105,berry,strawberry,44.000000
106,forest,oak,44.000000
107,crochet,knit,44.000000
108,bird,eagle,44.000000
109,canine,puppy,44.000000
110,bar,cocktail,44.000000
111,bar,pub,44.000000
112,sunlight,sunshine,44.000000
113,apple,fruit,44.000000
114,sun,sunrise,44.000000
115,gymnastics,sport,44.000000
116,sailing,ship,44.000000
117,beach,sea,44.000000
118,game,hockey,44.000000
119,bed,pillow,44.000000
120,daffodil,tulip,44.000000
121,flower,plant,44.000000
122,fire,smoke,44.000000
123,canine,dog,44.000000
124,bracelet,jewelry,44.000000
125,feline,kitty,44.000000
126,architecture,building,44.000000
127,shop,shopping,44.000000
128,highway,traffic,44.000000
129,lizard,reptile,44.000000
130,music,piano,44.000000
131,strawberry,sweet,44.000000
132,snow,winter,44.000000
133,autumn,spring,44.000000
134,bacon,meat,44.000000
135,raspberry,strawberry,44.000000
136,chipmunk,squirrel,44.000000
137,coast,harbor,44.000000
138,dress,skirt,44.000000
139,sun,sunny,44.000000
140,lily,tulip,44.000000
141,grave,gravestone,44.000000
142,bright,sunny,44.000000
143,dandelion,plant,44.000000
144,light,sunlight,44.000000
145,hill,mountain,43.000000
146,burger,food,43.000000
147,sea,shore,43.000000
148,feather,peacock,43.000000
149,child,mother,43.000000
150,night,sunset,43.000000
151,orange,peel,43.000000
152,subway,train,43.000000
153,camera,lens,43.000000
154,daisy,petal,43.000000
155,aircraft,wing,43.000000
156,bloom,flower,43.000000
157,clothes,jacket,43.000000
158,dinner,restaurant,43.000000
159,swim,swimming,43.000000
160,cemetery,gravestone,43.000000
161,cigarette,smoke,43.000000
162,shirt,skirt,43.000000
163,baby,pregnant,43.000000
164,cherry,fruit,43.000000
165,beef,meat,43.000000
166,blossom,daffodil,43.000000
167,bloom,blossom,43.000000
168,maple,oak,43.000000
169,frost,winter,43.000000
170,colour,pink,43.000000
171,dog,poodle,43.000000
172,lantern,light,43.000000
173,coast,sea,43.000000
174,tunnel,underground,43.000000
175,dog,pet,43.000000
176,hair,haircut,43.000000
177,day,sunset,43.000000
178,bikini,swimsuit,43.000000
179,rail,railway,43.000000
180,art,museum,43.000000
181,painting,portrait,43.000000
182,dress,wedding,43.000000
183,poodle,puppy,43.000000
184,port,ship,43.000000
185,bloom,tulip,43.000000
186,cold,winter,43.000000
187,bakery,cake,43.000000
188,building,roof,43.000000
189,iron,steel,43.000000
190,bird,stork,43.000000
191,lily,plant,43.000000
192,eat,food,43.000000
193,bathroom,kitchen,43.000000
194,jazz,music,43.000000
195,fabric,wool,43.000000
196,aquarium,tank,43.000000
197,fire,flame,43.000000
198,bloom,rose,43.000000
199,leaf,nature,43.000000
200,town,village,43.000000
201,apple,orange,43.000000
202,dawn,sunrise,43.000000
203,engine,gasoline,43.000000
204,oak,tree,43.000000
205,guitar,piano,43.000000
206,chocolate,dessert,43.000000
207,cat,paw,43.000000
208,bird,goose,43.000000
209,blue,sky,43.000000
210,pool,swim,43.000000
211,bracelet,necklace,42.000000
212,fruit,salad,42.000000
213,egg,nest,42.000000
214,boat,sailing,42.000000
215,bird,crow,42.000000
216,bird,flamingo,42.000000
217,day,sunshine,42.000000
218,hockey,sport,42.000000
219,burger,eat,42.000000
220,fruit,raspberry,42.000000
221,lunch,sandwich,42.000000
222,foot,toe,42.000000
223,baby,mother,42.000000
224,amphibian,frog,42.000000
225,burn,fire,42.000000
226,hockey,ice,42.000000
227,cold,frozen,42.000000
228,oak,wood,42.000000
229,photographer,photography,42.000000
230,man,woman,42.000000
231,hair,redhead,42.000000
232,harbor,port,42.000000
233,pug,puppy,42.000000
234,sunrise,sunset,42.000000
235,leather,shoe,42.000000
236,beach,shore,42.000000
237,color,red,42.000000
238,paint,painting,42.000000
239,storm,wind,42.000000
240,color,violet,42.000000
241,rain,wet,42.000000
242,diner,eat,42.000000
243,bed,bedroom,42.000000
244,guitar,musician,42.000000
245,petal,rose,42.000000
246,rail,subway,42.000000
247,holiday,vacation,42.000000
248,bed,sleep,42.000000
249,cigarette,smoking,42.000000
250,airplane,plane,42.000000
251,daffodil,plant,42.000000
252,diner,kitchen,42.000000
253,coin,silver,42.000000
254,cake,chocolate,42.000000
255,evening,night,42.000000
256,race,racing,42.000000
257,flight,fly,42.000000
258,face,lip,42.000000
259,berry,raspberry,42.000000
260,lamp,light,42.000000
261,bird,nest,42.000000
262,mother,pregnant,42.000000
263,animal,pet,42.000000
264,butterfly,insect,42.000000
